Epoch,Training Loss,Validation Loss
1,0.011998136527836323,0.004146733786910772
2,0.0030388659797608852,0.0025293680373579264
3,0.0022668419405817986,0.0019748606719076633
4,0.0018645076779648662,0.0017121029086411
5,0.0016474007861688733,0.001495877979323268
6,0.0014877085341140628,0.001504667685367167
7,0.0013528324197977781,0.0011547263711690903
8,0.0012633145088329911,0.0014042562106624246
9,0.0012089927913621068,0.0009916438721120358
10,0.001174891833215952,0.0010653722565621138
11,0.0011227878276258707,0.0013065232196822762
12,0.0011048628948628902,0.0018657069886103272
13,0.0011013499461114407,0.0010454420698806643
14,0.0010634413920342922,0.0012617880711331964
15,0.001019467948935926,0.0016739711863920093
16,0.0009990448597818613,0.0013582968385890126
17,0.0008824789547361434,0.0010542907984927297
18,0.0009719359804876149,0.0007417118758894503
19,0.0008665932691656053,0.0006059925653971732
20,0.000544416718184948,0.0004103699466213584
21,0.0004708119959104806,0.00019721270655281842
22,0.0004053767479490489,0.00012047028576489538
23,0.00037728442111983895,0.00013544518151320517
24,0.0003386734169907868,0.00011785075912484899
25,0.0003276594798080623,9.641273936722428e-05
26,0.0003203352971468121,0.00018263826495967805
27,0.00030949118081480265,0.00030455010710284114
28,0.000312142918119207,9.257384954253212e-05
29,0.00028848007787019014,0.00031860233866609633
30,0.00027818497619591653,9.740688255988061e-05
31,0.00027719640638679266,0.00011046740837628022
32,0.00026124410214833915,0.00010636601655278355
33,0.00024995661806315184,9.599332406651229e-05
34,0.00024702749215066433,8.618864376330748e-05
35,0.00024304940598085523,0.00018035226094070822
36,0.00022564647952094674,0.0001276255352422595
37,0.00021928880596533418,0.00012692128075286746
38,0.0002103357546729967,8.814246393740177e-05
39,0.00020334124565124512,8.356702892342582e-05
40,0.00019386116764508188,7.958523201523349e-05
41,0.00018799536337610334,8.895207429304719e-05
42,0.00018199429905507714,0.00012833641085308045
43,0.00017578572442289442,0.00027363700792193413
44,0.00016584117838647217,0.00011064478167099878
45,0.00016091491852421314,0.00017096262308768928
46,0.00016469733964186162,6.835558451712132e-05
47,0.00015107299259398133,6.437316915253177e-05
48,0.00014075636863708496,9.816200326895341e-05
49,0.0001446074020350352,0.00013186264550313354
50,0.00013464342919178307,7.427154196193442e-05
51,0.00012726234854198992,7.104314863681793e-05
52,0.00012579829490277916,9.563875937601551e-05
53,0.00012582050112541765,7.680732232984155e-05
54,0.0001144110137829557,0.00019622886611614376
55,0.00011192751117050648,0.00010354129335610196
56,0.00011194426770089194,7.07691433490254e-05
57,0.00010218436364084482,7.395095599349588e-05
58,9.675681940279901e-05,8.277426968561485e-05
59,9.402696014149114e-05,7.392643601633608e-05
60,9.450296784052625e-05,7.791090320097283e-05
61,8.78204737091437e-05,5.473041528603062e-05
62,9.283111285185441e-05,5.328852421371266e-05
63,8.276609150925651e-05,9.058129944605753e-05
64,8.599275315646082e-05,7.200762047432363e-05
65,7.847417145967484e-05,5.239311576588079e-05
66,7.816014112904668e-05,6.201364158187062e-05
67,7.38447779440321e-05,9.11094612092711e-05
68,7.194739737315103e-05,8.058456296566874e-05
69,7.314066897379234e-05,6.767528975615278e-05
70,6.671364099020138e-05,7.194008503574878e-05
71,6.790336919948459e-05,4.348435322754085e-05
72,7.266814645845443e-05,7.631181506440043e-05
73,6.600168126169592e-05,7.313088281080127e-05
74,6.461887096520513e-05,5.6459804909536615e-05
75,6.296886567724869e-05,8.121846622088924e-05
76,6.188149563968182e-05,5.0982271204702556e-05
77,6.16947072558105e-05,6.044058682164177e-05
78,6.30664435448125e-05,5.3753268730361015e-05
79,5.949304977548309e-05,7.922416261862963e-05
80,5.7129236665787175e-05,5.467326263897121e-05
81,5.855341805727221e-05,4.805917706107721e-05
82,5.5851254728622735e-05,5.521001367014833e-05
83,5.699963367078453e-05,7.315855327760801e-05
84,5.857961150468327e-05,4.509536665864289e-05
85,6.016392580932006e-05,7.133551116567105e-05
86,5.52642741240561e-05,0.00010754174581961706
71,,4.348435322754085e-05
