Epoch,Training Loss,Validation Loss
1,0.00982409343123436,0.006875821389257908
2,0.0035336241126060486,0.002826221287250519
3,0.0022111530415713787,0.0020298706367611885
4,0.001715798513032496,0.0015173146966844797
5,0.001433624536730349,0.0013068275293335319
6,0.0012869650963693857,0.0012957656290382147
7,0.001202991814352572,0.0015230950666591525
8,0.0010914155282080173,0.0016202341066673398
9,0.001036605448462069,0.0010943467495962977
10,0.0009570951806381345,0.0010987246641889215
11,0.0008974572992883623,0.0010366608621552587
12,0.0008640155429020524,0.0008079189574345946
13,0.0007945455145090818,0.0007897299365140498
14,0.0007629491155967116,0.0006805926677770913
15,0.0007307940977625549,0.0010052431607618928
16,0.0006910469383001328,0.0006942653562873602
17,0.0006535446736961603,0.0006074633565731347
18,0.0006180845084600151,0.0005527412868104875
19,0.0005596685805357993,0.00047054493916220963
20,0.0004113564791623503,0.0005101904971525073
21,0.0003431487421039492,0.00028128569829277694
22,0.000271903641987592,0.00015229315613396466
23,0.0002336928591830656,0.00010170652967644855
24,0.00019702498684637249,0.00010064210800919682
25,0.0001796901342459023,7.035284215817228e-05
26,0.00016163244436029345,0.000114196736831218
27,0.00014827726408839226,7.090237340889871e-05
28,0.0001423234643880278,5.785316534456797e-05
29,0.00013738323468714952,6.872435187688097e-05
30,0.00012142963532824069,5.368362326407805e-05
31,0.00011300641926936805,6.303787813521922e-05
32,0.00011487903975648805,7.091240695444867e-05
33,9.879360004561022e-05,8.860071102390066e-05
34,9.79503383859992e-05,0.0001344863121630624
35,8.865856943884864e-05,6.172212306410074e-05
36,8.69237192091532e-05,4.632811760529876e-05
37,8.06755997473374e-05,7.079457282088697e-05
38,8.024911221582443e-05,6.321129330899566e-05
39,7.574738992843777e-05,0.00013844513159710914
40,7.243474829010665e-05,5.6936023611342534e-05
41,6.975181167945266e-05,4.70047743874602e-05
42,6.446157931350172e-05,4.842962516704574e-05
43,6.319814565358683e-05,5.002200850867666e-05
44,5.987627446302213e-05,9.241284715244547e-05
45,5.958973997621797e-05,5.265893560135737e-05
46,5.675068314303644e-05,5.46564333490096e-05
47,5.713366772397421e-05,0.00010074237070512027
48,5.434595004771836e-05,4.708477354142815e-05
49,5.4998054110910743e-05,4.951120354235172e-05
50,5.3773157560499385e-05,4.115729461773299e-05
51,4.873689613305032e-05,6.60087462165393e-05
52,4.945246837451123e-05,6.489615770988166e-05
53,5.158116982784122e-05,6.287844007601961e-05
54,4.714313035947271e-05,3.773043499677442e-05
55,4.779997470905073e-05,4.527709097601473e-05
56,4.8647580115357414e-05,3.686119453050196e-05
